咪咕体育,#genre#
按照时间顺序找到要看的比赛,https://cloud.wujiyan.cc/f/4p4tx/1.MOV
 12/20 03:50_意大利杯_国际米兰vs乌迪内斯_刘腾 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97279&/PLTV/
 12/20 07:55_NBA常规赛_爵士vs活塞_张浩岳 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97494&/PLTV/
 12/20 07:55_NBA常规赛_爵士vs活塞_英文原声 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97495&/PLTV/
 12/20 07:55_NBA常规赛_雷霆vs魔术_罗森 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97496&/PLTV/
 12/20 07:55_NBA常规赛_雷霆vs魔术_英文原声 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97497&/PLTV/
 12/20 07:55_NBA常规赛_黄蜂vs奇才_王凯 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97498&/PLTV/
 12/20 07:55_NBA常规赛_黄蜂vs奇才_英文原声 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97499&/PLTV/
 12/20 08:25_NBA常规赛_公牛vs凯尔特人_季孟年 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97500&/PLTV/
 12/20 08:25_NBA常规赛_公牛vs凯尔特人_英文原声 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97501&/PLTV/
 12/20 08:25_NBA常规赛_篮网vs猛龙_张泽欣 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97502&/PLTV/
 12/20 08:25_NBA常规赛_篮网vs猛龙_英文原声 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97503&/PLTV/
 12/20 08:45_NBA常规赛_勇士vs灰熊_蔡凯臣 马健 拜月宁 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97504&/PLTV/
 12/20 08:55_NBA常规赛_勇士vs灰熊_董倡硕 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97505&/PLTV/
 12/20 08:55_NBA常规赛_勇士vs灰熊_英文原声 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97506&/PLTV/
 12/20 08:45_NBA常规赛_勇士vs灰熊_蔡凯臣 马健 拜月宁 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97507&/PLTV/
 12/20 08:55_NBA常规赛_鹈鹕vs火箭_周鹏 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97508&/PLTV/
 12/20 08:55_NBA常规赛_鹈鹕vs火箭_英文原声 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97509&/PLTV/
 12/20 08:55_NBA常规赛_老鹰vs马刺_陈鑫隆 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97510&/PLTV/
 12/20 08:55_NBA常规赛_老鹰vs马刺_英文原声 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97511&/PLTV/
